a,processed,comedy,chop,suey,.,0,0,correct,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,.,.,one,big,laugh,",",three,or,four,mild,giggles,",",and,a,whole,lot,of,not,much,else,.,0,0,correct,,,,,,,,
0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,,,,,,,,,,,
an,incredibly,clever,and,superbly,paced,caper,filled,with,scams,within,scams,within,scams,.,1,1,correct,,,,,,,,,,,,,,,
1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,
with,nary,a,glimmer,of,self-knowledge,",",[,crane,],becomes,more,specimen,than,character,--,and,auto,focus,remains,a,chilly,",",clinical,lab,report,.,1,0,wrong,,,
1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,,,,,,
.,.,.,expands,the,horizons,of,boredom,to,the,point,of,collapse,",",turning,into,a,black,hole,of,dullness,",",from,which,no,interesting,concept,can,escape,.,0,0,correct
0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,,,
a,thoughtful,look,at,a,painful,incident,that,made,headlines,in,1995,.,1,1,correct,,,,,,,,,,,,,,,,,
1,1,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
reeks,of,rot,and,hack,work,from,start,to,finish,.,0,0,correct,,,,,,,,,,,,,,,,,,,
1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
while,maintaining,the,appearance,of,clinical,objectivity,",",this,sad,",",occasionally,horrifying,but,often,inspiring,film,is,among,wiseman,'s,warmest,.,1,1,correct,,,,,,,
0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,,,,,,,,,,
seeks,to,transcend,its,genre,with,a,curiously,stylized,",",quasi-shakespearean,portrait,of,pure,misogynist,evil,.,1,1,correct,,,,,,,,,,,,,
1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
two,generations,within,one,family,test,boundaries,in,this,intelligent,and,restrained,coming-of-age,drama,.,1,1,correct,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,
a,well-done,film,of,a,self-reflexive,",",philosophical,nature,.,1,1,correct,,,,,,,,,,,,,,,,,,,,
0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
once,again,",",the,intelligence,of,gay,audiences,has,been,grossly,underestimated,",",and,a,meaty,plot,and,well-developed,characters,have,been,sacrificed,for,skin,and,flash,that,barely,fizzle,0,0,correct
0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,,,
the,movie,is,one,of,the,best,examples,of,artful,large,format,filmmaking,you,are,likely,to,see,anytime,soon,.,1,1,correct,,,,,,,,,
1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
a,party-hearty,teen,flick,that,scalds,like,acid,.,0,1,wrong,,,,,,,,,,,,,,,,,,,,,
1,1,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
it,is,a,happy,",",heady,jumble,of,thought,and,storytelling,",",an,insane,comic,undertaking,that,ultimately,coheres,into,a,sane,and,breathtakingly,creative,film,.,1,1,correct,,,
1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,,,,,,
it,'s,weird,",",wonderful,",",and,not,necessarily,for,kids,.,1,1,correct,,,,,,,,,,,,,,,,,,
1,0,1,0,1,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
it,'s,hard,to,tell,with,all,the,crashing,and,banging,where,the,salesmanship,ends,and,the,movie,begins,.,0,0,correct,,,,,,,,,,
1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,
may,not,be,a,breakthrough,in,filmmaking,",",but,it,is,unwavering,and,arresting,.,1,1,correct,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,
while,it,regards,1967,as,the,key,turning,point,of,the,20th,century,",",and,returns,again,and,again,to,images,of,dissidents,in,the,streets,",",it,'s,alarmingly,1,1,correct
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,,,
the,fourth,``,pokemon,``,is,a,diverting,--,if,predictable,--,adventure,suitable,for,a,matinee,",",with,a,message,that,cautions,children,about,disturbing,the,world,'s,delicate,1,1,correct
1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,,,
impostor,has,a,handful,of,thrilling,moments,and,a,couple,of,good,performances,",",but,the,movie,does,n't,quite,fly,.,for,starters,",",the,story,is,just,too,0,0,correct
0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,,,
ramsay,",",as,in,ratcatcher,",",remains,a,filmmaker,with,an,acid,viewpoint,and,a,real,gift,for,teasing,chilly,poetry,out,of,lives,and,settings,that,might,otherwise,seem,1,1,correct
0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,
however,clever,nelson,has,been,in,providing,variation,within,the,confines,of,her,structure,and,staging,",",the,question,remains,whether,this,should,",",indeed,",",have,been,presented,as,0,0,correct
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,,,
(,rises,),above,its,oh-so-hollywood,rejiggering,and,its,conventional,direction,to,give,the,film,a,soul,and,an,unabashed,sense,of,good,old-fashioned,escapism,.,1,1,correct,,,,
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,,,,,,,
awesome,creatures,",",breathtaking,scenery,",",and,epic,battle,scenes,add,up,to,another,'spectacular,spectacle,.,',1,1,correct,,,,,,,,,,,,
1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,
a,manically,generous,christmas,vaudeville,.,1,1,correct,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ultimately,too,repellent,to,fully,endear,itself,to,american,art,house,audiences,",",but,it,is,notable,for,its,stylistic,austerity,and,forcefulness,.,1,1,correct,,,,,,
1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,,,,,,,,,
one,of,those,rare,films,that,seems,as,though,it,was,written,for,no,one,",",but,somehow,manages,to,convince,almost,everyone,that,it,was,put,on,the,screen,1,1,correct
1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,,,
kapur,'s,contradictory,feelings,about,his,material,result,in,a,movie,that,works,against,itself,.,0,0,correct,,,,,,,,,,,,,,
0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,,,,,,,,,,,,,,,,,
a,guilty,pleasure,at,best,",",and,not,worth,seeing,unless,you,want,to,laugh,at,it,.,0,0,correct,,,,,,,,,,,,
1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
some,body,smacks,of,exhibitionism,more,than,it,does,cathartic,truth,telling,.,0,0,correct,,,,,,,,,,,,,,,,,
0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
bad,beyond,belief,and,ridiculous,beyond,description,.,0,0,correct,,,,,,,,,,,,,,,,,,,,,,
1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
a,movie,that,the,less,charitable,might,describe,as,a,castrated,cross,between,highlander,and,lolita,.,1,0,wrong,,,,,,,,,,,,,
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
a,gripping,documentary,that,reveals,how,deep,the,antagonism,lies,in,war-torn,jerusalem,.,1,1,correct,,,,,,,,,,,,,,,,
1,1,0,1,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
an,elegant,",",exquisitely,modulated,psychological,thriller,.,1,1,correct,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
while,parker,and,co-writer,catherine,di,napoli,are,faithful,to,melville,'s,plotline,",",they,and,a,fully,engaged,supporting,cast,.,.,.,have,made,the,old,boy,'s,1,1,correct
0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,,,
does,what,a,fine,documentary,does,best,:,it,extends,a,warm,invitation,into,an,unfamiliar,world,",",then,illuminates,it,fully,and,allows,the,larger,implications,of,the,journey,1,1,correct
1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,,,
too,much,power,",",not,enough,puff,.,0,0,correct,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
good,actors,have,a,radar,for,juicy,roles,--,there,'s,a,plethora,of,characters,in,this,picture,",",and,not,one,of,them,is,flat,.,1,1,correct,,,
1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,,,,
whatever,satire,lucky,break,was,aiming,for,",",it,certainly,got,lost,in,the,``,soon-to-be-forgettable,``,section,of,the,quirky,rip-off,prison,romp,pile,.,it,'s,petty,thievery,0,0,correct
1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,,,
an,ambitiously,naturalistic,",",albeit,half-baked,",",drama,about,an,abused,",",inner-city,autistic,teen,.,1,0,wrong,,,,,,,,,,,,,,
0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
it,'s,the,perfect,star,vehicle,for,grant,",",allowing,him,to,finally,move,away,from,his,usual,bumbling,",",tongue-tied,screen,persona,.,1,1,correct,,,,,,
1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
.,.,.,once,the,TRUE,impact,of,the,day,unfolds,",",the,power,of,this,movie,is,undeniable,.,1,1,correct,,,,,,,,,,
0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,,,,,,,,,,,,,
only,in,its,final,surprising,shots,does,rabbit-proof,fence,find,the,authority,it,'s,looking,for,.,0,0,correct,,,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
u,.,s,.,audiences,may,find,[,attal,and,gainsbourg,'s,],unfamiliar,personas,give,the,film,an,intimate,and,quaint,reality,that,is,a,little,closer,to,human,1,1,correct
0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,,,
thoroughly,awful,.,0,0,correct,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
payami,tries,to,raise,some,serious,issues,about,iran,'s,electoral,process,",",but,the,result,is,a,film,that,'s,about,as,subtle,as,a,party,political,broadcast,.,0,0,correct
0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,,,
some,movies,are,like,a,tasty,hors-d'oeuvre,;,this,one,is,a,feast,.,1,1,correct,,,,,,,,,,,,,,,,
0,0,0,0,0,1,0,0,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,
while,the,film,is,not,entirely,successful,",",it,still,manages,to,string,together,enough,charming,moments,to,work,.,1,1,correct,,,,,,,,,,
0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,,,,,,,,,,,,,
fast,",",frantic,and,fun,",",but,also,soon,forgotten,1,1,correct,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
hart,'s,war,seems,to,want,to,be,a,character,study,",",but,apparently,ca,n't,quite,decide,which,character,.,0,0,correct,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,,,,,,,,,,,,
needs,more,impressionistic,cinematography,and,exhilarating,point-of-view,shots,and,fewer,slow-motion,'grandeur,',shots,and,quick-cut,edits,that,often,detract,from,the,athleticism,.,0,0,correct,,,,,,
1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,,,,,,,,,
the,movie,fails,to,live,up,to,the,sum,of,its,parts,.,0,0,correct,,,,,,,,,,,,,,,,,
1,0,1,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
an,oddity,",",to,be,sure,",",but,one,that,you,might,wind,up,remembering,with,a,degree,of,affection,rather,than,revulsion,.,1,1,correct,,,,,,
0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,,,,,,
even,if,it,ultimately,disappoints,",",the,picture,does,have,about,a,matinee,admission,'s,worth,of,funny,to,keep,it,afloat,.,1,0,wrong,,,,,,,
1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,
it,'s,all,about,anakin,.,.,.,and,the,lustrous,polished,visuals,rich,in,color,and,creativity,and,",",of,course,",",special,effect,.,1,1,correct,,,,
1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0,,,,,,,
'how,many,more,voyages,can,this,limping,but,dearly-loved,franchise,survive,?,',0,0,correct,,,,,,,,,,,,,,,,,
1,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,
a,sour,attempt,at,making,a,farrelly,brothers-style,",",down-and-dirty,laugher,for,the,female,set,.,0,0,correct,,,,,,,,,,,,,,
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
it,'s,fairly,solid,--,not,to,mention,well,edited,so,that,it,certainly,does,n't,feel,like,a,film,that,strays,past,the,two,and,a,half,mark,.,0,1,wrong
1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,
pumpkin,sits,in,a,patch,somewhere,between,mirthless,todd,solondzian,satire,and,callow,student,film,.,0,0,correct,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
has,an,uppity,musical,beat,that,you,can,dance,to,",",but,its,energy,ca,n't,compare,to,the,wit,",",humor,and,snappy,dialogue,of,the,original,.,if,0,0,correct
1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
might,have,been,better,off,as,a,documentary,",",with,less,of,mr,.,eyre,'s,uninspired,dramatics,and,more,of,his,sense,of,observation,and,outrage,.,0,0,correct,,
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,,,,,
cattaneo,reworks,the,formula,that,made,the,full,monty,a,smashing,success,.,.,.,but,neglects,to,add,the,magic,that,made,it,all,work,.,0,0,correct,,,
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,
a,pleasing,",",often-funny,comedy,.,1,1,correct,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
high,crimes,knows,the,mistakes,that,bad,movies,make,and,is,determined,not,to,make,them,",",and,maybe,that,is,nobility,of,a,sort,.,0,1,wrong,,,,
0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,,,,,,,
a,grand,fart,coming,from,a,director,beginning,to,resemble,someone,'s,crazy,french,grandfather,.,0,0,correct,,,,,,,,,,,,,,
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
a,jewish,ww,ii,doc,that,is,n't,trying,simply,to,out-shock,",",out-outrage,or,out-depress,its,potential,audience,!,who,knew,.,.,.,0,1,wrong,,,,,
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,
soderbergh,",",like,kubrick,before,him,",",may,not,touch,the,planet,'s,skin,",",but,understands,the,workings,of,its,spirit,.,1,1,correct,,,,,,,
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,,,,,,,,,,
karmen,moves,like,rhythm,itself,",",her,lips,chanting,to,the,beat,",",her,long,",",braided,hair,doing,little,to,wipe,away,the,jeweled,beads,of,sweat,.,0,1,wrong,
0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,,,
the,chateau,belongs,to,rudd,",",whose,portrait,of,a,therapy-dependent,flakeball,spouting,french,malapropisms,.,.,.,is,a,nonstop,hoot,.,0,1,wrong,,,,,,,
0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,,,,,,,,,,
the,good,girl,is,a,film,in,which,the,talent,is,undeniable,but,the,results,are,underwhelming,.,0,0,correct,,,,,,,,,,,,
0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,
a,richly,imagined,and,admirably,mature,work,from,a,gifted,director,who,definitely,has,something,on,his,mind,.,1,1,correct,,,,,,,,,,,
1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
often,demented,in,a,good,way,",",but,it,is,an,uneven,film,for,the,most,part,.,0,1,wrong,,,,,,,,,,,,
0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
intensely,romantic,",",thought-provoking,and,even,an,engaging,mystery,.,1,1,correct,,,,,,,,,,,,,,,,,,,,
1,1,0,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
in,the,end,",",white,oleander,is,n't,an,adaptation,of,a,novel,.,it,'s,a,flashy,",",star-splashed,reduction,.,1,0,wrong,,,,,,,,
0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,,,,,,,,,,,
although,it,does,n't,always,hang,together,--,violence,and,whimsy,do,n't,combine,easily,--,``,cherish,``,certainly,is,n't,dull,.,0,1,wrong,,,,,,
1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,,,,,,,,,
it,'s,too,long,",",too,repetitive,",",and,takes,way,too,many,years,to,resolve,to,be,a,total,winner,.,0,0,correct,,,,,,,,
1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
a,lovely,film,for,the,holiday,season,.,1,1,correct,,,,,,,,,,,,,,,,,,,,,,
1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
a,lean,",",deftly,shot,",",well-acted,",",weirdly,retro,thriller,that,recalls,a,raft,of,'60s,and,'70s,european-set,spy,pictures,.,1,1,correct,,,,,,,
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
a,ponderous,meditation,on,love,that,feels,significantly,longer,than,its,relatively,scant,97,minutes,.,0,0,correct,,,,,,,,,,,,,,
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
you,'ve,already,seen,city,by,the,sea,under,a,variety,of,titles,",",but,it,'s,worth,yet,another,visit,.,1,1,correct,,,,,,,,
1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,,,,,,,,,,,
there,is,n't,one,moment,in,the,film,that,surprises,or,delights,.,0,0,correct,,,,,,,,,,,,,,,,,
1,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
this,movie,.,.,.,does,n't,deserve,the,energy,it,takes,to,describe,how,bad,it,is,.,0,0,correct,,,,,,,,,,,
1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,
the,dialogue,is,very,choppy,and,monosyllabic,despite,the,fact,that,it,is,being,dubbed,.,0,0,correct,,,,,,,,,,,,,,
1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
a,damn,fine,and,a,truly,distinctive,and,a,deeply,pertinent,film,.,1,1,correct,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,
adaptation,is,simply,brilliant,.,1,1,correct,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
though,a,bit,of,a,patchwork,in,script,and,production,",",a,glossy,",",rich,green,",",environment,almost,makes,the,picture,work,.,1,0,wrong,,,,,,
1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,
a,film,so,tedious,that,it,is,impossible,to,care,whether,that,boast,is,TRUE,or,not,.,0,0,correct,,,,,,,,,,,,
0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
really,quite,funny,.,1,1,correct,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,faithful,will,enjoy,this,sometimes,wry,adaptation,of,v,.,s,.,naipaul,'s,novel,",",but,newcomers,may,find,themselves,stifling,a,yawn,or,two,during,the,first,0,1,wrong
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,,,
when,'science,fiction,',takes,advantage,of,the,fact,that,its,intended,audience,has,n't,yet,had,much,science,",",it,does,a,disservice,to,the,audience,and,to,the,0,0,correct
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,,,
it,suggests,the,wide-ranging,effects,of,media,manipulation,",",from,the,kind,of,reporting,that,is,done,by,the,supposedly,liberal,media,.,.,.,to,the,intimate,and,ultimately,0,1,wrong
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,,,
.,.,.,with,``,the,bourne,identity,``,we,return,to,the,more,traditional,action,genre,.,1,1,correct,,,,,,,,,,,,
0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
rich,in,atmosphere,of,the,post-war,art,world,",",it,manages,to,instruct,without,reeking,of,research,library,dust,.,1,1,correct,,,,,,,,,,
1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
it,'s,about,following,your,dreams,",",no,matter,what,your,parents,think,.,socrates,motions,for,hemlock,.,1,0,wrong,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
it,'s,a,movie,--,and,an,album,--,you,wo,n't,want,to,miss,.,0,1,wrong,,,,,,,,,,,,,,
1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
there,'s,a,disturbing,'great,white,hope,',undertone,to,the,other,side,of,heaven,that,subtly,undermines,its,message,of,christian,love,and,compassion,.,0,0,correct,,,,
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,,,,,
it,'s,better,suited,for,the,history,or,biography,channel,",",but,there,'s,no,arguing,the,tone,of,the,movie,-,it,leaves,a,bad,taste,in,your,mouth,0,0,correct
1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,,,
witty,",",contemplative,",",and,sublimely,beautiful,.,1,1,correct,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
a,``,home,alone,``,film,that,is,staged,like,``,rosemary,'s,baby,",",``,but,is,not,as,well-conceived,as,either,of,those,films,.,0,0,correct,,,
0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,,,,,,
while,locals,will,get,a,kick,out,of,spotting,cleveland,sites,",",the,rest,of,the,world,will,enjoy,a,fast-paced,comedy,with,quirks,that,might,make,the,award-winning,coen,1,1,correct
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,,,
it,gets,old,quickly,.,watch,barbershop,again,if,you,'re,in,need,of,a,cube,fix,--,this,is,n't,worth,sitting,through,.,0,0,correct,,,,,
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,,,,,,,,
this,wretchedly,unfunny,wannabe,comedy,is,inane,and,awful,-,no,doubt,",",it,'s,the,worst,movie,i,'ve,seen,this,summer,.,0,0,correct,,,,,,
1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,,,,,,,,,
a,historical,epic,with,the,courage,of,its,convictions,about,both,scope,and,detail,.,1,1,correct,,,,,,,,,,,,,,,
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
i,'m,not,sure,which,is,worse,:,the,poor,acting,by,the,ensemble,cast,",",the,flat,dialogue,by,vincent,r,.,nebrida,or,the,gutless,direction,by,laurice,0,0,correct
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,,,
it,never,quite,makes,it,to,the,boiling,point,",",but,manages,to,sustain,a,good,simmer,for,most,of,its,running,time,.,1,0,wrong,,,,,,
0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,,,,,,,,,
from,beginning,to,end,",",this,overheated,melodrama,plays,like,a,student,film,.,0,0,correct,,,,,,,,,,,,,,,,
0,0,0,0,0,1,1,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
sex,with,strangers,is,fascinating,.,.,.,1,1,correct,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
the,problem,is,that,the,movie,has,no,idea,of,it,is,serious,or,not,.,0,0,correct,,,,,,,,,,,,,,
1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
for,this,sort,of,thing,to,work,",",we,need,agile,performers,",",but,the,proficient,",",dull,sorvino,has,no,light,touch,",",and,rodan,is,out,of,his,0,0,correct
0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,,,
the,secrets,of,time,travel,will,have,been,discovered,",",indulged,in,and,rejected,as,boring,before,i,see,this,piece,of,crap,again,.,0,0,correct,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,
it,is,not,the,first,time,that,director,sara,sugarman,stoops,to,having,characters,drop,their,pants,for,laughs,and,not,the,last,time,she,fails,to,provoke,them,.,1,0,wrong
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,
